collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
8 875,,Geraniaceae,Geranium,Geranium pratense,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528363917321.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528363917321.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528363917321.jpg
8 881,Plante inconnue,Araliaceae,Fatsia,Fatsia japonica,,Férule commune,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528379201953.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528379201953.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528379201953.jpg
8 882,Plante inconnue,Solanaceae,Solanum,Solanum dulcamara,,Spirée,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528380323551.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528380323551.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528380323551.jpg
8 896,Plante inconnue,Asteraceae,Taraxacum,Taraxacum palustre,,centhranthe rouge,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528394054770.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528394054770.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528394054770.jpg
8 897,Plante inconnue,Araliaceae,Hedera,Hedera colchica,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528401466514.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528401466514.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528401466514.jpg
8 901,Plante inconnue,Asteraceae,Reichardia,Reichardia picroides,,Bryone dioïque,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528407479203.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528407479203.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528407479203.jpg
8 904,Plante inconnue,Verbenaceae,Lippia,Lippia triphylla,,Coronille variée,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528450380653.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528450380653.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528450380653.jpg
8 906,Plante inconnue,Tropaeolaceae,Tropaeolum,Tropaeolum majus,,Grande cigüe,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528458871923.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528458871923.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528458871923.jpg
8 907,,Asteraceae,Bellis,Bellis sylvestris,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528463357786.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528463357786.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528463357786.jpg
8 914,Plante inconnue,Brassicaceae,Diplotaxis,Diplotaxis erucoides,,bryone,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528473273837.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528473273837.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528473273837.jpg
8 919,Plante inconnue,Fabaceae,Medicago,Medicago lupulina,,spiraeajaponica aureata,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528486321125.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528486321125.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528486321125.jpg
8 920,Plante inconnue,Fabaceae,Trifolium,Trifolium campestre,,Pois vivaces (lathyrus latifolius),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528487001622.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528487001622.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528487001622.jpg
8 932,Plante inconnue,Berberidaceae,Berberis,Berberis japonica,,VERVEINE DE BUENOS AIRES,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528548444891.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528548444891.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528548444891.jpg
8 935,Plante inconnue,Geraniaceae,Pelargonium,Pelargonium zonale,,Bryone dioïque (Bryonia dioica),0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1528556294418.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528556294418.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528556294418.jpg
8 936,Plante inconnue,Asteraceae,Tanacetum,Tanacetum vulgare,,radis ravenelle,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528561771516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528561771516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528561771516.jpg
8 938,Plante inconnue,Ericaceae,Erica,Erica x darleyensis,,"lis orangé, hémerocalle",0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528606491531.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528606491531.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528606491531.jpg
8 942,Plante inconnue,Caprifoliaceae,Leycesteria,Leycesteria formosa,,Agathea coelestis,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528621335475.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528621335475.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528621335475.jpg
8 943,Plante inconnue,Asteraceae,Leucanthemella,Leucanthemella serotina,,Buglosse toujours verte (Pentaglottis sempervirens),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528625019401.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528625019401.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528625019401.jpg
8 944,Plante inconnue,Apiaceae,Ferula,Ferula glauca,,Ciboulette (Allium schoenoprasum),0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528626761468.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528626761468.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528626761468.jpg
