insecte_sc,insecte_fr
Odontomyia,Les Stratiomes fauves
Glaucopsyche melanops,L'Azuré de la Badasse
Eupithecia et autres,Les Eupithécies
Hipparchia fidia,Le Chevron blanc
Mutilla europaea,La Mutille européenne (mâle)
Papilio hospiton,Le Porte-queue de Corse
Dascillus cervinus,Le Dascillide
Zygaena rhadamanthus,La Zygène de l'Esparcette
Ptinomorphus imperialis,Le Ptinomorphe impérial
Anthocharis euphenoides,L'Aurore de Provence (mâle)
Scolitantides orion,L'Azuré des Orpins
Acmaeodera pilosellae,L'Acméodère de la Piloselle
Thanatus,Les Araignées crabes Thanatus
Stratiomys longicornis,Le Stratiome terne
Ancyrosoma leucogrammes,La Punaise Ancyrosoma
Maculinea nausithous,L'Azuré des Paluds
Purpuricenus,Les Purpuricènes
Pyronia bathseba,L'Ocelle rubanné
"Malthinus, Malthodes",Les Malthinus et Malthodes à points jaunes
Ptosima undecimmaculata,Le Bupreste à taches jaunes
Eurrhypara hortulata,La Pyrale de l'Ortie
Cyrtus gibbus,Le Cyrtus
Agriades glandon,Les Azurés de haute montagne (Alpes)
Sceliphron,Les Pélopées à pétiole jaune
Satyrium w-album,Le Thécla de l'Orme
Chorosoma schillingii,Le Chorosome
Euphydryas cynthia,Le Damier de l'Alchémille (mâle)
Lithosia quadra,La Lithosie quadrille (femelle)
Eumedonia eumedon,L'Argus de la Sanguinaire
Zanclognatha,Les Herminies
Milesia semiluctifera,La Milésie bigarée
Angerona prunaria,L'Angéronie du Prunier
Myrmus miriformis,Le Myrmus
Zerynthia rumina,La Proserpine
Pseudophilotes baton,L'Azuré du Thym (mâle)
Conophorus,Les Conophores
Calambus bipustulatus,Le Taupin à 2 taches
Timandra comae,La Timandre aimée
Melanargia occitanica,L'Echiquier d'Occitanie
Satyrium pruni,Le Thécla du Prunier
Stratiomys singularior,Le Stratiome singularior
Amata,Les Syntomies
Coenonympha corinna,Le Fadet tyrrhénien
Danaus chrysippus,Le Petit Monarque
Nudaria mundana,La Mondaine
Hipparchia et autres,Les Agrestes (Corse)
Mutillidae,Les Mutilles (autres mâles)
Aromia moschata,L'Aromie musquée
Setina aurita,L'Ecaille alpine
Sceliphron curvatum,Le Pélopée à pattes roussâtres
Pelosia,Les Lithosies muscerde et obuste
Attagenus punctatus,Le Dermeste à points blancs
Usia,Les Usies
Vadonia unipunctata,La Vadonie à 1 point
Parnassius mnemosyne,Le Semi-Apollon
Erebia manto,Le Moiré variable
Chlorophorus pilosus,Le Clyte poilu
Agrius convolvuli,Le Sphinx du Liseron
Pyrgus sidae,L'Hespérie à bandes jaunes
Noctua pronuba,Le Hibou
Atolmis rubricollis,La Veuve
Gnorimus variabilis,Le Gnorimus sombre
Quercusia quercus,Le Thécla du Chêne
Argynnis pandora,Le Cardinal
Deilephila porcellus,Le Petit Sphinx de la Vigne
"Paidia, Thumatha",Les Lithosies à ailes larges
Aspitates ochrearia,L'Aspilate ochracée
Utetheisa pulchella,L'Ecaille du Myosotis
Laspeyria flexula,Le Crochet
Clitellaria ephippium,La Clitellaire
Laeosopis roboris,Le Thécla du Frêne
Alucitidae,Les Alucitides
Haematopota pluvialis,Le Taon des pluies
Phlogophora meticulosa,La Méticuleuse
Rhagium bifasciatum,La Rhagie à 2 bandes
Psodos quadrifaria,Le Ruban fauve
Chlorophorus ruficornis,Le Chlorophore soufré
Laothoe populi,Le Sphinx du Peuplier
Callimorpha dominula,L'Ecaille marbrée
Opisthograptis luteolata,La Citronnelle rouillée
Melanargia russiae,L'Echiquier de Russie
Aplocera,Les Rayures
Eclimus gracilis,Le Bombyle Eclimus
Korynetes et autres,Les Clairons brillants
Papilio alexanor,L'Alexanor
Smerinthus ocellata,Le Sphinx demi-paon
"Sphinx maurorum, Sphinx pinastri",Les Sphinx du Pin et mauresque
Oberea erythrocephala,Le Longicorne Oberea
Hyles livornica,Le Sphinx livournien
Erebia,Les Moirés sans ocelles
Lithosia quadra,La Lithosie quadrille (mâle)
Heteropterus morpheus,Le Miroir
Anarta myrtilli,La Noctuelle de la Myrtille
Dasyscolia ciliata,La Scolie de l'Ophrys miroir
Proserpinus proserpina,Le Sphinx de l'Epilobe
Agriades optilete,L'Azuré de la Canneberge
"Bena, Pseudoips",Les Halias
