Unknown
Mylabris quadripunctata
Mylabris variabilis
Deraeocoris ribauti
Adelphocoris vandalicus
Curculio glandium
Spilomyia manicata
Zodion cinereum
Silis ruficollis
Dasytes
Cetema cereris
Leptura aethiops
Dolichovespula media
Thecophora atra
Stagonomus venustissimus
Agenioideus cinctellus
Nanophyes marmoratus
Hyponephele lycaon
Eupithecia centaureata
Ectophasia leucoptera
Polistes dominula
Euodynerus
Psenidae
Spilomyia saltuum
Selandria melanosterna
Paragus bicolor
Ormyrus
Platycheirus fulviventris
Chilocorus renipustulatus
Diapriinae
Coptera
Mesopolobus dubius
Reichertella nigra
Scathophaga lutaria
Conomorium
Adela cuprella
Priocnemis
Myopa testacea
Aulacobaris coerulescens
Orthonevra nobilis
Pachygnatha degeerii
Graphosoma italicum
Agrypnus murinus
Miscogastrinae
Aphanotrigonum trilineatum
Rhogogaster chlorosoma
Lucilia sericata
Rutpela nigra
Dilophus febrilis
Psilothrix viridicoeruleus
Empusa pennata
Tenthredo scrophulariae
Libellula fulva
Sphaerophoria batava
Scraptia dubia
Lysandra bellargus
Chlorophorus figuratus
Cantharis rustica
Empis trigramma
Empis femorata
Scatophaga stercoraria
Limnia unguicornis
Orchestes fagi
Chamaesphecia empiformis
Cychramus luteus
Eristalis similis
Cryptocephalus bameuli
Agapanthia villosoviridescens
Bruchidius bimaculatus
Exephanes ischioxanthus
Apoderus coryli
Opetia nigra
Tychius cuprifer
Graphosoma italicum italicum
Bombylius cruciatus
Stevenia
Oedemera lateralis
Horistus orientalis
Eristalis horticola
Phycitodes albatella
Symmorphus
Bibio marci
Capsodes gothicus
Stevenia umbratica
Ceriana vespiformis
Limenitis reducta
Tenthredo atra
Pontia daplidice
Closterotomus norvegicus
Ancistrocerus nigricornis
Planuncus vinzi
Chrysomela populi
Protapion fulvipes
Apis mellifera mellifera
Cetonia aurata pisana
Platynaspis luteorubra
Diplazon laetatorius
Bombus pascuorum floralis
Aphrodes
Pullus auritus
Gomphus pulchellus
Omophlus
Satyrium acaciae
Psacasta exanthematica
Omophlus lepturoides
Butalis scopolella
Odontotarsus purpureolineatus
Andrena flavipes flavipes
Phengaris arion
Coraebus rubi
Brenthis daphne
Idaea aversata
Trichius fasciatus
Calopteryx splendens
Acronicta geographica
Aricia agestis agestis
Oedemera podagriae
Nemophora metallica
Tachina (Eudoromyia) fera
Vespula vulgaris
Curculio elephas
Fabriciana niobe
Iphiclides feisthamelii
Plagionotus floralis
Scolia sexmaculata
Exhyalanthrax afer
Sirex juvencus
Pyrausta cingulata
Cetonia cuprea
Melitaea athalia athalia
Coenonympha pamphilus pamphilus
Shargacucullia lychnitis
Sterictiphora angelicae
Anthaxia hungarica
Dorycera
Dasyscolia ciliata
Satyrus ferula
Xanthogramma laetum
Nacerdes carniolica
Zygaena loti
Proserpinus proserpina
Heliothis viriplaca
Emmelina monodactyla
Vestitohalictus
Nomiapis
Zonitis flava
Nyctia
Lysandra coridon
Araneus diademus
Meria tripunctata
Elophila nymphaeata
Pterophorus pentadactyla
Pteromalinae
Oulema melanopa
Euzonitis quadrimaculata
Colias crocea
Propylea
Toryminae
Parexochomus nigromaculatus
Erebia ligea
Polyommatus semiargus
Idaea rusticata
Cryptocephalus bipunctatus
Villa cingulata
Melitaea athalia
Dolycoris
Nemophora
Mellicta athalia
Lasiommata maera
Ephippiger ephippiger
Scopula ornata
Onychogomphus uncatus
Muschampia floccifera
Pyronia cecilia
Exoprosopa jacchus
Mesembrina meridiana
Helicoverpa armigera
Thymelicus sylvestris sylvestris
Lasiommata megera megera
Tabanus bovinus
Sympetrum meridionale
Chrysochraon dispar
Chrysocramboides craterellus
Uromenus rugosicollis
Calocoris roseomaculatus
Podagrica
Calliphora (Calliphora) vomitoria
Clytra atraphaxidis
Idaea deversaria
Chrysoteuchia
Sicus
Odynerus
Synanthedon andrenaeformis
Spialia sertorius
Lagria hirta
Cucullia lychnitis
Heliothela wulfeniana
Merodon unicolor
Stictoleptura hybrida
Satyrus actaea
Polistes gallicus
Stenodynerus
Cidaria fulvata
Eliozeta helluo
Bombus agrorum
Gymnosoma nitens
Ematurga atomaria atomaria
Judolia cerambyciformis
Ochlodes venatus
Episyron rufipes
Omocestus rufipes
Agriades optilete
Pieris brassicae brassicae
Poecilus cupreus
"Bena, Pseudoips"
Libelloides longicornis
Coscinia cribaria
Arge ochropus ochropus
Cryptocephalus rugicollis
Melitaea deione deione
Polyommatus eros
Euodynerus variegatus
Limenitis reducta schiffermulleri
Lysandra bellargus etrusca
Polistes dominulus
Carpocoris mediterranea atlantica
Cydalima perspectalis
Platycnemis
Olibrus
Macrophya
Abrachyglossum capitatum
Cylindromyia (Cylindromyia) bicolor
Cylindromyia (Cylindromyia) brassicaria
Eumenes pomiformis
Roeseliana
Eurygaster maura
Oedaleus decorus
Herina
Macrophya alboannulata
Fabriciana adippe
Sarcophaga carnaria
Zygaena fausta apocrypha
Lasiommata maegera
Ephippiger
Dasysyrphus tricinctus
Pyrgus armoricanus
Hoplodrina ambigua
Lomatia lateralis
Acrida ungarica mediterranea
Leptotes pirithous
Abia sericea
Nemka viduata
Thymelicus actaeon
Callicera spinolae
Eriothrix rufomaculata
Sterictiphora
Heodes tityrus
Scarabeidae
Aricia artaxerxes
Eristalinus megacephalus
Hellula undalis
Argyra argyria
Ancistrocerus gazella
Anthophila
Anomaloninae
Leucospis
Eutricharaea
Allocoelioxys
Spilostethus furcula
Eumeninae
Polistes biglumis
Pimpla
Carpocoris fucispinus
Carpocoris mediterraneus
Zygaena transalpina
Adscita
Stictoleptura cordigera
Oxybellus
Erebia aethiops
Cercopis intermedia
Triecphora vulnerata
Cixius
Eurydema dominulus
Aphanus rolandri
Atylotus loewianus
Anacridium aegyptium
